"No.","Time","Source","Destination","Protocol","Length","Info"
"632","122.937094275","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=195/49920, ttl=64 (reply in 633)"
"633","122.937194291","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=195/49920, ttl=64 (request in 632)"
"634","122.969211681","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=147/37632, ttl=64 (reply in 635)"
"635","122.969253289","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=147/37632, ttl=64 (request in 634)"
"636","123.960829298","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=196/50176, ttl=64 (reply in 637)"
"637","123.960884161","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=196/50176, ttl=64 (request in 636)"
"638","123.992845663","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=148/37888, ttl=64 (reply in 639)"
"639","123.992874868","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=148/37888, ttl=64 (request in 638)"
"640","124.009844031","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18"
"641","124.712583598","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.4 detected!)"
"642","124.984792148","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0003, seq=197/50432, ttl=64 (reply in 643)"
"643","124.984830540","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0003, seq=197/50432, ttl=64 (request in 642)"
"644","125.016822025","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0004, seq=149/38144, ttl=64 (reply in 645)"
"645","125.016882969","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0004, seq=149/38144, ttl=64 (request in 644)"
