"No.","Time","Source","Destination","Protocol","Length","Info"
"91","10.430254784","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=21/5376, ttl=63"
"92","10.464986418","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:c7:f2:77:18"
"93","10.465548732","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=576/16386, ttl=64 (reply in 94)"
"94","10.465604607","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=576/16386, ttl=64 (request in 93)"
"95","11.268914249","02:42:c7:f2:77:18","02:42:ac:11:00:02","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.2 detected!)"
"96","11.453911412","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=22/5632, ttl=64 (no response found!)"
"97","11.453955996","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=22/5632, ttl=63 (reply in 98)"
"98","11.453984038","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=22/5632, ttl=64 (request in 97)"
"99","11.453999718","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=22/5632, ttl=63"
"100","11.462051528","02:42:c7:f2:77:18","02:42:ac:11:00:03","ARP","42","172.17.0.4 is at 02:42:c7:f2:77:18 (duplicate use of 172.17.0.3 detected!)"
"101","11.485784307","172.17.0.3","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0005, seq=577/16642, ttl=64 (reply in 102)"
"102","11.485864818","172.17.0.2","172.17.0.3","ICMP","98","Echo (ping) reply    id=0x0005, seq=577/16642, ttl=64 (request in 101)"
"103","12.001359094","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.3 is at 02:42:c7:f2:77:18"
"104","12.465280056","02:42:c7:f2:77:18","02:42:ac:11:00:04","ARP","42","172.17.0.2 is at 02:42:c7:f2:77:18"
"105","12.481890498","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=23/5888, ttl=64 (no response found!)"
"106","12.481933999","172.17.0.4","172.17.0.2","ICMP","98","Echo (ping) request  id=0x0007, seq=23/5888, ttl=63 (reply in 107)"
"107","12.481961421","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=23/5888, ttl=64 (request in 106)"
"108","12.481977000","172.17.0.2","172.17.0.4","ICMP","98","Echo (ping) reply    id=0x0007, seq=23/5888, ttl=63"
